"Type";"Mean_length";"T_opt";"Mean_amplitude";"Season"
"CHA";"G";"146.47619047619";"15.4602964623374";"3.31485413366996";"1"
"DIT";"S";"131.428571428571";"13.7893416721531";"1.37056962633298";"0"
"GUI";"S";"136.857142857143";"16.73878637428";"2.33040948647442";"1"
"LEP";"S";"110.285714285714";"17.3527080414855";"2.93534119901666";"2"
"SKE";"S";"121.47619047619";"12.2926214024071";"2.51888301157479";"0"
"THP";"G";"151.904761904762";"14.3800893492063";"2.19360185142581";"0"
"NIT";"G";"148.380952380952";"14.663514721141";"2.00781905829307";"0"
"PLE";"G";"144.333333333333";"15.1773222570103";"1.25724928224396";"0"
"PSE";"S";"139";"15.626556003304";"2.85147624640719";"1"
"PRO";"S";"131.857142857143";"16.1950170194425";"2.13995486594467";"2"
"PRP";"S";"138.238095238095";"15.9811360466168";"1.83507335387723";"1"
