"","list_lookalike","biovolume","sur"
"1","Chaetoceros diadema","4710","176.714586764426"
"2","Chaetoceros socialis","213.5","50.2654824574367"
"3","Thalassiosira eccentrica","65302","3318.30724035422"
"4","Skeletonema","237.5","19.6349540849362"
"5","Gyrosigma attenuatum","56411.5","19.6349540849362"
"6","Pseudo-nitzschia","1152","19.6349540849362"
"7","Nitzschia","330","7.06858347057703"
"8","Navicula transitans","1575","7.06858347057703"
"9","Gymnodinium","6788","550.564112541611"
"10","Protoperidinium","39564","1963.49540849362"
